,Marque,Modèle,Puissance fiscale,Transmission,Kilométrage,Mise en circulation,Carrosserie,price,cylindre,Énergie
0,Peugeot,2008,5,Traction,175000,5.2016,SUV/4x4,35000,1199.0,Essence
1,Chery,Tiggo 2,6,Traction,45000,5.202,SUV/4x4,49400,998.0,Essence
2,Volkswagen,Golf 7,5,Traction,145000,6.2013,Berline,46000,1599.0,Essence
3,Seat,Ibiza,5,Traction,80000,9.202,Citadine,53000,999.0,Essence
4,Haval,H6,9,Traction,80000,11.2017,SUV/4x4,68000,1500.0,Essence
5,Peugeot,2008,5,Traction,92000,6.2015,SUV/4x4,45000,1199.0,Essence
6,Ssangyong,Actyon Sports,7,Propulsion,200000,10.2018,Pick up,50000,2200.0,Diesel
7,Mercedes-Benz,Classe E,11,Propulsion,188000,9.2011,Berline,63000,1998.0,Essence
8,Mini,Countryman,7,Traction,105390,9.2011,Berline,46000,1598.0,Essence
9,Ford,Focus,6,Traction,161000,8.2016,Autres,40000,999.0,Essence
10,Volkswagen,T-Cross,7,Traction,28,1.2024,SUV/4x4,90000,1000.0,Essence
11,Haval,H6,9,Traction,77000,3.2021,SUV/4x4,85000,1499.0,Essence
12,Mini,3 portes,4,Traction,146000,12.2015,Coupé,58000,1198.0,Essence
13,Fiat,Punto Evo,4,Traction,100000,5.2013,Compacte,24000,899.0,Essence
14,Ford,Fiesta,6,Traction,204000,2.2017,Coupé,31000,1242.0,Essence
15,BMW,Série 3,7,Propulsion,202000,9.2015,Berline,63000,900.0,Essence
16,Fiat,500,4,Traction,37000,5.2021,Citadine,55000,1200.0,Essence
17,Chevrolet,Cruze,7,Traction,270000,7.2014,Berline,31000,1598.0,Essence
18,Peugeot,208,4,Traction,82000,12.2019,Citadine,33000,1200.0,Essence
19,Chevrolet,Sonic,5,Traction,84000,6.2018,Berline,36000,1200.0,Essence
20,Renault,Fluence,7,Intégrale,173000,9.2013,Berline,40000,1598.0,Essence
21,BMW,Série 4 Gran Coupé,7,Propulsion,130000,4.2019,Berline,125000,1499.0,Essence
22,Nissan,Patrol,11,Traction,300000,1.1991,SUV/4x4,27500,2800.0,Diesel
23,Volkswagen,Polo,5,Traction,64000,11.2019,Citadine,57000,899.0,Essence
24,Toyota,Aygo,4,Traction,69000,12.202,Compacte,33000,998.0,Essence
25,Mercedes-Benz,ML,27,Intégrale,180000,11.2,Autres,30000,2979.0,Essence
26,Ford,C-Max,6,Traction,151000,12.2009,Monospace,23000,1800.0,Diesel
27,Volkswagen,Golf 5,6,Traction,206000,11.2005,Berline,31500,1400.0,Diesel
28,Tata,Xenon X2 Simple Cabine,7,Propulsion,64000,5.2017,Utilitaire,31000,2198.0,Diesel
29,Peugeot,508,7,Traction,230000,1.2014,Berline,39200,1598.0,Essence
30,BMW,X5,14,Propulsion,104000,5.202,SUV/4x4,295000,2000.0,Diesel
31,Nissan,Navara,8,Propulsion,248000,7.201,SUV/4x4,55000,2500.0,Diesel
32,KIA,Sportage,7,Propulsion,118000,9.2019,SUV/4x4,98500,899.0,Diesel
33,Audi,A4,7,Traction,600000,12.1999,Berline,23000,1896.0,Diesel
34,Peugeot,307,5,Traction,430000,5.2005,Citadine,18500,1560.0,Diesel
