marque;modele;vertion;prix;nombre de place;nombre de porte;boite vitesse;CARROSSERIE;CYLINDRÉE;ENERGIE;TRANSMISSION;PUISSANCE FISCALE
Foday;F22Max;1.9LTID4Luxury;124800DT;5;4;Manuelle;Pickup;1855CM³;Diesel;Intégrale;6CV
Wallyscar;Wolf;1.5Turbo;118800DT;7;5;Automatique;SUV;1498CM³;Essence;Traction;9CV
Wallyscar;719;1.6LAtmos;47140DT;5;4;Manuelle;Berline;1298CM³;Essence;Traction;7CV
Volvo;XC90;2.0lRechargeUltimateBright;449900DT;7;5;Automatique;SUV;1969CM³;Essence|Hybriderechargeable;Intégrale;20CV
Volvo;XC90;2.0lUltimateBright;399900DT;7;5;Automatique;SUV;1969CM³;Essence|Hybrideléger;Intégrale;19CV
Volvo;S90;2.0lUltimateBright;269900DT;5;4;Automatique;Berline;1969CM³;Essence|Hybrideléger;Traction;15CV
Volvo;S90;2.0lPlusDark;244900DT;5;4;Automatique;Berline;1969CM³;Essence|Hybrideléger;Traction;15CV
Volvo;XC60;2.0lRechargeUltimateBright;354900DT;5;5;Automatique;SUV;1969CM³;Essence|Hybriderechargeable;Intégrale;20CV
Volvo;XC60;2.0lUltimateDark;299900DT;5;5;Automatique;SUV;1969CM³;Essence|Hybrideléger;Intégrale;15CV
Volvo;XC60;2.0lPlusDark;269900DT;5;5;Automatique;SUV;1969CM³;Essence|Hybrideléger;Intégrale;15CV
Volvo;S60;2.0lUltimateDark;214900DT;5;4;Automatique;Berline;1969CM³;Essence|Hybrideléger;Traction;11CV
Volvo;S60;2.0lPlusDark;194900DT;5;4;Automatique;Berline;1969CM³;Essence|Hybrideléger;Traction;11CV
Volvo;XC40;2.0LUltimateDark+;199900DT;5;5;Automatique;SUV;1969CM³;Essence|Hybrideléger;Traction;9CV
Volvo;XC40;2.0LUltimateDark;189900DT;5;5;Automatique;SUV;1969CM³;Essence|Hybrideléger;Traction;9CV
Volvo;XC40;2.0LPlusDark;174900DT;5;5;Automatique;SUV;1969CM³;Essence|Hybrideléger;Traction;9CV
Volkswagen;TransporterFourgon6.1;2LTDI;104980DT;3;4;Manuelle;Utilitaire;1968CM³;Diesel;Traction;7CV
Volkswagen;CaddyCargo;2.0LTDIMaxi;76980DT;2;4;Manuelle;Utilitaire;1968CM³;Diesel;Traction;7CV
Volkswagen;CaddyCargo;2.0LTDIBusiness;73980DT;2;4;Manuelle;Utilitaire;1968CM³;Diesel;Traction;7CV
Volkswagen;Amarok;2.0LTDI210ch4x4AventuraBVA;239980DT;5;4;Automatique;Pickup;1996CM³;Diesel;Intégrale;5CV
Volkswagen;Amarok;2.0LTDI170ch4x4LifeBVA;199980DT;5;4;Automatique;Pickup;1996CM³;Diesel;Intégrale;5CV
Volkswagen;CaddyCombi;1.6LMPIConfort;114980DT;5;4;Manuelle;Monospace;1598CM³;Essence;Traction;6CV
Volkswagen;Polo;1.0LTSILife;89980DT;5;5;Manuelle;Citadine;999CM³;Essence;Traction;5CV
Volkswagen;Polo;1.0LTSIDrive;82980DT;5;5;Manuelle;Citadine;999CM³;Essence;Traction;5CV
Volkswagen;T-Cross;1.0LToplineBVA;103980DT;5;5;Automatique;SUV;999CM³;Essence;Traction;7CV
Volkswagen;T-Cross;1.0LHighlineBVA;91980DT;5;5;Automatique;SUV;999CM³;Essence;Traction;7CV
Volkswagen;T-Cross;1.0LConfortline;73980DT;5;5;Manuelle;SUV;999CM³;Essence;Traction;6CV
