prix;Kilométrage;Mise en circulation;Énergie;Boite vitesse;Puissance fiscale;Transmission;Carrosserie;Date de l'annonce;Gouvernorat;Marque;Modèle;Génération;Couleur extérieure;Couleur intérieure;Sellerie;Nombre de places;Nombre de portes;Cylindrée
35000DT;175000km;05.2016;Essence;Manuelle;5cv;Traction;SUV/4x4;22.02.2024;Ariana;Peugeot;2008;(A94)5HB;"""""";"""""";"""""";"""""";"""""";""""""
49400DT;45000km;05.2020;Essence;Manuelle;6cv;Traction;SUV/4x4;26.02.2024;Sousse;Chery;Tiggo2;Rouge;Noir;"""""";Similicuir;5;5;998cm³
46000DT;145000km;06.2013;Essence;Manuelle;5cv;Traction;Berline;04.03.2024;Sousse;Volkswagen;Golf7;VIISW;"""""";"""""";"""""";"""""";"""""";""""""
53000DT;80000km;09.2020;Essence;Manuelle;5cv;Traction;Citadine;10.03.2024;Ariana;Seat;Ibiza;Blanc;Noir;"""""";Tissu;5;4;999cm³
68000DT;80000km;11.2017;Essence;Automatique;9cv;Traction;SUV/4x4;13.03.2024;Nabeul;Haval;H6;Blanc;Noir;"""""";Cuirintégral;5;5;1500cm³
45000DT;92000km;06.2015;Essence;Manuelle;5cv;Traction;SUV/4x4;14.03.2024;Ariana;Peugeot;2008;(A94)5HB;"""""";"""""";"""""";"""""";"""""";""""""
50000DT;200000km;10.2018;Diesel;Manuelle;7cv;Propulsion;Pickup;14.03.2024;Tunis;Ssangyong;ActyonSports;II;"""""";"""""";"""""";"""""";"""""";""""""
41200DT;94000km;04.2019;Essence;Manuelle;6cv;Traction;Autres;19.02.2024;BenArous;GreatWall;M4;"""""";Rouge;"""""";Cuirintégral;"""""";"""""";""""""
33000DT;300000km;12.1998;Diesel;Manuelle;11cv;Propulsion;SUV/4x4;19.02.2024;Gabès;Mitsubishi;Pajero;"""""";Blanc;"""""";"""""";"""""";"""""";""""""
68000DT;190000km;01.2018;Essence;Automatique;7cv;Propulsion;Citadine;19.02.2024;Sousse;BMW;Série1;(F20)LCI5portes;"""""";"""""";"""""";"""""";"""""";""""""
75000DT;350000km;06.2003;Diesel;Manuelle;11cv;Intégrale;SUV/4x4;19.02.2024;Gabès;Toyota;Prado;120(_J12_);"""""";"""""";"""""";"""""";"""""";""""""
31500DT;179000km;07.2010;Essence;Manuelle;4cv;Traction;Citadine;19.02.2024;Tunis;Mini;3portes;2(R56);"""""";"""""";"""""";"""""";"""""";""""""
52000DT;120000km;06.2019;Diesel;Manuelle;6cv;Intégrale;Berline;19.02.2024;Kasserine;Renault;Megane;IVHatchback;"""""";"""""";"""""";"""""";"""""";""""""
30000DT;229000km;01.2010;Essence;Manuelle;5cv;Propulsion;Coupé;19.02.2024;Tunis;Mini;3portes;"""""";Beige;Noir;Tissu;4;3;1397cm³
28000DT;94910km;12.2011;Essence;Manuelle;5cv;Traction;Citadine;20.02.2024;Tunis;Peugeot;207;"""""";GrisShark;Gris;Tissu;5;4;1360cm³
78000DT;100000km;01.2017;Essence;Automatique;9cv;Traction;SUV/4x4;20.02.2024;Sfax;Mazda;CX-5;"""""";GrisShark;Cuirintégral;"""""";"""""";"""""";""""""
65000DT;100000km;01.2018;Essence;Automatique;9cv;Intégrale;SUV/4x4;20.02.2024;Mahdia;MG;GS;"""""";Orange;Beige;Cuirintégral;5;4;1490cm³
