Marque;Modèle;Boite vitesse;Puissance fiscale;Transmission;Kilométrage;Mise en circulation;Carrosserie;price;cylindre;Énergie
Peugeot;2008;Manuelle;5                        cv;Traction;175 000                        km;05.2016;SUV/4x4;35 000        DT;1199;Essence
Chery;Tiggo 2;Manuelle;6                        cv;Traction;45 000                        km;05.2020;SUV/4x4;49 400        DT;998;Essence
Volkswagen;Golf 7;Manuelle;5                        cv;Traction;145 000                        km;06.2013;Berline;46 000        DT;1599;Essence
Seat;Ibiza;Manuelle;5                        cv;Traction;80 000                        km;09.2020;Citadine;53 000        DT;999;Essence
Haval;H6;Automatique;9                        cv;Traction;80 000                        km;11.2017;SUV/4x4;68 000        DT;1500;Essence
Peugeot;2008;Manuelle;5                        cv;Traction;92 000                        km;06.2015;SUV/4x4;45 000        DT;1199;Essence
Ssangyong;Actyon Sports;Manuelle;7                        cv;Propulsion;200 000                        km;10.2018;Pick up;50 000        DT;2200;Diesel
Mercedes-Benz;Classe E;Automatique;11                        cv;Propulsion;188 000                        km;09.2011;Berline;63 000        DT;1998;Essence
Mini;Countryman;Manuelle;7                        cv;Traction;105 390                        km;09.2011;Berline;46 000        DT;1598;Essence
Ford;Focus;Manuelle;6                        cv;Traction;161 000                        km;08.2016;Autres;40 000        DT;999;Essence
Volkswagen;T-Cross;Automatique;7                        cv;Traction;28                        km;01.2024;SUV/4x4;90 000        DT;1000;Essence
Haval;H6;Automatique;9                        cv;Traction;77 000                        km;03.2021;SUV/4x4;85 000        DT;1499;Essence
Mini;3 portes;Manuelle;4                        cv;Traction;146 000                        km;12.2015;Coupé;58 000        DT;1198;Essence
Fiat;Punto Evo;Manuelle;4                        cv;Traction;100 000                        km;05.2013;Compacte;24 000        DT;899;Essence
Ford;Fiesta;Manuelle;6                        cv;Traction;204 000                        km;02.2017;Coupé;31 000        DT;1242;Essence
BMW;Série 3;Automatique;7                        cv;Propulsion;202 000                        km;09.2015;Berline;63 000        DT;900;Essence
Fiat;500;Automatique;4                        cv;Traction;37 000                        km;05.2021;Citadine;55 000        DT;1200;Essence
Chevrolet;Cruze;Manuelle;7                        cv;Traction;270 000                        km;07.2014;Berline;31 000        DT;1598;Essence
Peugeot;208;Manuelle;4                        cv;Traction;82 000                        km;12.2019;Citadine;33 000        DT;1200;Essence
Chevrolet;Sonic;Manuelle;5                        cv;Traction;84 000                        km;06.2018;Berline;36 000        DT;1200;Essence
Renault;Fluence;Manuelle;7                        cv;Intégrale;173 000                        km;09.2013;Berline;40 000        DT;1598.0                                                    ;Essence
BMW;Série 4 Gran Coupé;Automatique;7                        cv;Propulsion;130 000                        km;04.2019;Berline;125 000        DT;1499;Essence
Nissan;Patrol;Manuelle;11                        cv;Traction;300 000                        km;01.1991;SUV/4x4;27 500        DT;2800;Diesel
Volkswagen;Polo;Manuelle;5                        cv;Traction;64 000                        km;11.2019;Citadine;57 000        DT;899;Essence
Toyota;Aygo;Manuelle;4                        cv;Traction;69 000                        km;12.2020;Compacte;33 000        DT;998;Essence
Mercedes-Benz;ML;Automatique;27                        cv;Intégrale;180 000                        km;11.2000;Autres;30 000        DT;2979.0                                                    ;Essence
Ford;C-Max;Manuelle;6                        cv;Traction;151 000                        km;12.2009;Monospace;23 000        DT;1800;Diesel
Volkswagen;Golf 5;Manuelle;6                        cv;Traction;206 000                        km;11.2005;Berline;31 500        DT;1400;Diesel
Tata;Xenon X2 Simple Cabine;Manuelle;7                        cv;Propulsion;64 000                        km;05.2017;Utilitaire;31 000        DT;2198;Diesel
Peugeot;508;Automatique;7                        cv;Traction;230 000                        km;01.2014;Berline;39 200        DT;1598;Essence
BMW;X5;Automatique;14                        cv;Propulsion;104 000                        km;05.2020;SUV/4x4;295 000        DT;2000;Diesel
Nissan;Navara;Manuelle;8                        cv;Propulsion;248 000                        km;07.2010;SUV/4x4;55 000        DT;2500;Diesel
KIA;Sportage;Automatique;7                        cv;Propulsion;118 000                        km;09.2019;SUV/4x4;98 500        DT;899;Diesel
Audi;A4;Manuelle;7                        cv;Traction;600 000                        km;12.1999;Berline;23 000        DT;1896;Diesel
Peugeot;307;Manuelle;5                        cv;Traction;430 000                        km;05.2005;Citadine;18 500        DT;1560;Diesel
Mitsubishi;Mirage;Manuelle;4                        cv;Traction;38 000                        km;04.2019;Citadine;35 000        DT;1193;Essence
Volkswagen;Tiguan;Manuelle;8                        cv;Traction;99 000                        km;07.2020;SUV/4x4;132 000        DT;1968;Diesel
Ford;Fiesta;Manuelle;5                        cv;Propulsion;236 000                        km;07.2005;Citadine;18 800        DT;1399;Essence
Hyundai;Tucson;Automatique;8                        cv;Traction;11 000                        km;02.2021;SUV/4x4;110 000        DT;1600;Essence
Seat;Ibiza;Manuelle;4                        cv;Traction;51 000                        km;11.2018;Citadine;44 000        DT;1000;Essence
Chevrolet;Cruze;Manuelle;7                        cv;Intégrale;198 000                        km;07.2014;Berline;35 500        DT;1650;Essence
Renault;Clio;Manuelle;5                        cv;Traction;104 000                        km;12.2018;Citadine;43 500        DT;1198;Essence
BMW;X1;Automatique;8                        cv;Intégrale;230 000                        km;05.2011;SUV/4x4;51 000        DT;1995;Diesel
BMW;Série 3 coupé;Manuelle;7                        cv;Intégrale;144 000                        km;12.2009;Coupé;48 000        DT;1499;Essence
Chery;Tiggo 8 Pro;Automatique;11                        cv;Intégrale;70 000                        km;11.2021;SUV/4x4;90 000        DT;1598;Essence
Mercedes-Benz;CLA;Automatique;7                        cv;Traction;120 000                        km;07.2019;Berline;100 000        DT;1332;Essence
MG;ZS;Automatique;7                        cv;Traction;97 000                        km;01.2021;SUV/4x4;68 000        DT;1498;Essence
KIA;Sportage;Automatique;10                        cv;Traction;276 000                        km;11.2018;SUV/4x4;84 000        DT;2000;Diesel
Seat;Ibiza;Manuelle;4                        cv;Traction;160 000                        km;05.2018;Citadine;38 000        DT;902;Essence
Toyota;Prado;Manuelle;11                        cv;Intégrale;335 000                        km;12.2006;SUV/4x4;109 000        DT;3000;Diesel
Chery;Tiggo 3X;Automatique;6                        cv;Traction;4 000                        km;01.2022;Autres;61 000        DT;1000;Essence
Seat;Leon;Manuelle;5                        cv;Traction;231 000                        km;04.2014;Compacte;44 000        DT;1200;Essence
Ford;Figo;Manuelle;5                        cv;Traction;152 000                        km;03.2014;Citadine;23 000        DT;899;Essence
Seat;Ibiza;Manuelle;4                        cv;Traction;98 000                        km;08.2021;Coupé;47 900        DT;999;Essence
Opel;Antara;Manuelle;10                        cv;Traction;86 000                        km;03.2010;SUV/4x4;52 000        DT;2400;Essence
Ford;Ecosport;Automatique;7                        cv;Traction;87 000                        km;12.2018;SUV/4x4;63 000        DT;998;Essence
Citroën;DS3;Manuelle;5                        cv;Traction;99 000                        km;11.2013;Coupé;30 500        DT;1200;Essence
